,Nb defined years,Series Code,Short definition
0,2622,SP.POP.TOTL,
1,2621,SP.POP.GROW,"Annual population growth rate. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship."
2,2485,NY.GDP.MKTP.CD,
3,2485,NY.GDP.PCAP.CD,
4,2484,IT.NET.USER.P2,
5,2438,NY.GDP.MKTP.KD,
6,2438,NY.GDP.PCAP.KD,
7,2405,SP.SEC.UTOT.IN,
8,2405,SP.POP.1564.TO.ZS,
9,2403,SP.SEC.LTOT.IN,
10,2400,SP.SEC.TOTL.IN,
11,2395,SP.POP.TOTL.MA.ZS,
12,2395,SP.POP.0014.MA.IN,
13,2395,SP.POP.0014.TO,
14,2395,SP.POP.0014.TO.ZS,
15,2395,SP.POP.1564.TO,
16,2395,SP.POP.TOTL.MA.IN,
17,2395,SP.POP.TOTL.FE.ZS,
18,2395,SP.POP.TOTL.FE.IN,
19,2395,SP.POP.1564.FE.IN,
20,2395,SP.POP.1564.MA.IN,
21,2395,SP.POP.0014.FE.IN,
22,2394,SP.SEC.UTOT.FE.IN,
23,2394,SP.SEC.UTOT.MA.IN,
24,2392,SP.SEC.LTOT.FE.IN,
25,2392,SP.PRE.TOTL.IN,
26,2392,SP.SEC.LTOT.MA.IN,
27,2389,SP.SEC.TOTL.MA.IN,
28,2389,SP.SEC.TOTL.FE.IN,
29,2381,SP.PRE.TOTL.MA.IN,
30,2381,SP.PRE.TOTL.FE.IN,
31,2381,NY.GNP.MKTP.CD,
32,2379,SH.DYN.MORT,
33,2365,SP.PRM.TOTL.IN,
34,2357,NY.GNP.PCAP.CD,
35,2355,SP.PRM.TOTL.MA.IN,
36,2355,SP.PRM.TOTL.FE.IN,
37,2354,SP.PRM.GRAD.TO,
38,2344,SP.PRM.GRAD.MA,
39,2344,SP.PRM.GRAD.FE,
40,2343,NY.GDP.MKTP.PP.CD,
41,2343,NY.GDP.PCAP.PP.KD,
42,2343,NY.GDP.MKTP.PP.KD,
43,2343,NY.GDP.PCAP.PP.CD,
44,2335,UIS.SAP.23.GPV.G1,
45,2324,UIS.SAP.23.GPV.G1.F,
46,2324,UIS.SAP.23.GPV.G1.M,
47,2321,UIS.SAP.1.G1,
48,2316,NY.GNP.MKTP.PP.CD,
49,2316,NY.GNP.PCAP.PP.CD,
50,2315,SL.UEM.TOTL.FE.ZS,
51,2315,SL.UEM.TOTL.ZS,
52,2315,SL.UEM.TOTL.MA.ZS,
53,2311,SL.TLF.TOTL.IN,
54,2311,SL.TLF.TOTL.FE.ZS,
55,2310,UIS.SAP.1.G1.F,
56,2310,UIS.SAP.1.G1.M,
57,2288,SE.PRM.AGES,
58,2288,SE.PRM.DURS,
59,2253,SE.SEC.DURS,
60,2253,SE.SEC.AGES,
61,2253,SE.SEC.DURS.UP,
62,2250,SP.TER.TOTL.IN,
63,2239,SP.TER.TOTL.MA.IN,
64,2239,SP.TER.TOTL.FE.IN,
65,2130,SE.PRM.ENRL,
66,2120,SE.PRM.ENRL.FE,
67,2120,SE.PRM.ENRL.FE.ZS,
68,2064,SE.COM.DURS,
69,2038,SE.PRM.ENRR,
70,2019,SE.PRM.ENRR.FE,
71,2019,SE.ENR.PRIM.FM.ZS,
72,2019,SE.PRM.ENRR.MA,
73,2013,SE.SEC.ENRL.GC,
74,2007,SP.POP.1319.MA.UN,"Population, ages 13-19, male is the total number of males age 13-19."
75,2007,SP.POP.1318.TO.UN,"Population, ages 13-18, total is the total population age 13-18."
76,2007,SP.POP.1218.FE.UN,"Population, ages 12-18, female is the total number of females age 12-18."
77,2007,SP.POP.1218.MA.UN,"Population, ages 12-18, male is the total number of males age 12-18."
78,2007,SP.POP.1218.TO.UN,"Population, ages 12-18, total is the total population age 12-18."
79,2007,SP.POP.1316.FE.UN,"Population, ages 13-16, female is the total number of females age 13-16."
80,2007,SP.POP.1316.MA.UN,"Population, ages 13-16, male is the total number of males age 13-16."
81,2007,SP.POP.1316.TO.UN,"Population, ages 13-16, total is the total population age 13-16."
82,2007,SP.POP.1317.MA.UN,"Population, ages 13-17, male is the total number of males age 13-17."
83,2007,SP.POP.1317.TO.UN,"Population, ages 13-17, total is the total population age 13-17."
84,2007,SP.POP.1318.FE.UN,"Population, ages 13-18, female is the total number of females age 13-18."
85,2007,SP.POP.1319.FE.UN,"Population, ages 13-19, female is the total number of females age 13-19."
86,2007,SP.POP.1319.TO.UN,"Population, ages 13-19, total is the total population age 13-19."
87,2007,SP.POP.1524.TO.UN,"Population, ages 15-24, total is the total population age 15-24."
88,2007,SP.POP.1524.MA.UN,"Population, ages 15-24, male is the total number of males age 15-24."
89,2007,SP.POP.1524.FE.UN,"Population, ages 15-24, female is the total number of females age 15-24."
90,2007,SP.POP.1419.TO.UN,"Population, ages 14-19, total is the total population age 14-19."
91,2007,SP.POP.1419.MA.UN,"Population, ages 14-19, male is the total number of males age 14-19."
92,2007,SP.POP.1419.FE.UN,"Population, ages 14-19, female is the total number of females age 14-19."
93,2007,SP.POP.1418.TO.UN,"Population, ages 14-18, total is the total population age 14-18."
94,2007,SP.POP.1418.MA.UN,"Population, ages 14-18, male is the total number of males age 14-18."
95,2007,SP.POP.1418.FE.UN,"Population, ages 14-18, female is the total number of females age 14-18."
96,2007,SP.POP.1317.FE.UN,"Population, ages 13-17, female is the total number of females age 13-17."
97,2007,SP.POP.AG23.MA.UN,"Population, age 23, male refers to the male population at the specified age."
98,2007,SP.POP.AG00.MA.UN,"Population, age 0, male refers to the male population at the specified age."
99,2007,SP.POP.AG14.MA.UN,"Population, age 14, male refers to the male population at the specified age."
100,2007,SP.POP.1217.MA.UN,"Population, ages 12-17, male is the total number of males age 12-17."
101,2007,SP.POP.AG25.MA.UN,"Population, age 25, male refers to the male population at the specified age."
102,2007,SP.POP.AG24.MA.UN,"Population, age 24, male refers to the male population at the specified age."
103,2007,SP.POP.AG22.MA.UN,"Population, age 22, male refers to the male population at the specified age."
104,2007,SP.POP.AG21.MA.UN,"Population, age 21, male refers to the male population at the specified age."
105,2007,SP.POP.AG20.MA.UN,"Population, age 20, male refers to the male population at the specified age."
106,2007,SP.POP.AG19.MA.UN,"Population, age 19, male refers to the male population at the specified age."
107,2007,SP.POP.AG18.MA.UN,"Population, age 18, male refers to the male population at the specified age."
